Country,2023,2022,2021,2020,2019
United States,2.54%,1.94%,5.80%,-2.21%,2.47%
Serbia,2.53%,2.55%,7.73%,-0.90%,4.33%
Spain,2.50%,5.77%,6.40%,-11.17%,1.98%
Niger,2.50%,11.90%,1.38%,3.55%,5.94%
Bahrain,2.48%,4.89%,2.59%,-4.64%,2.17%
Cyprus,2.47%,5.06%,9.91%,-3.44%,5.54%
Bolivia,2.44%,3.61%,6.11%,-8.74%,2.22%
Dominican Republic,2.36%,4.86%,12.27%,-6.72%,5.05%
Ecuador,2.36%,6.19%,9.82%,-9.25%,0.17%
Gabon,2.26%,2.97%,1.47%,-1.84%,3.92%
Portugal,2.26%,6.83%,5.74%,-8.30%,2.68%
Vanuatu,2.21%,1.92%,-1.55%,-4.99%,3.24%
Jamaica,2.20%,5.22%,4.60%,-9.92%,0.89%
Romania,2.15%,4.11%,5.71%,-3.68%,3.85%
Trinidad And Tobago,2.10%,1.48%,-1.04%,-9.08%,0.36%
Suriname,2.08%,2.43%,-2.44%,-15.98%,1.17%
Greece,2.01%,5.56%,8.38%,-9.32%,1.88%
Israel,2.00%,6.83%,8.61%,-1.86%,4.16%
Nepal,1.95%,5.63%,4.84%,-2.37%,6.66%
Japan,1.92%,0.95%,2.56%,-4.15%,-0.40%
Republic Of Congo,1.91%,1.48%,1.02%,-6.27%,1.12%
Denmark,1.89%,2.73%,6.84%,-2.42%,1.49%
Thailand,1.88%,2.46%,1.57%,-6.05%,2.11%
Bulgaria,1.85%,3.93%,7.66%,-3.97%,4.04%
Bosnia,1.68%,4.23%,7.39%,-3.02%,2.89%
Slovak Republic,1.60%,1.87%,4.77%,-3.33%,2.51%
Slovenia,1.59%,2.46%,8.23%,-4.24%,3.52%
Malawi,1.54%,0.92%,2.75%,0.80%,5.45%
Andorra,1.44%,9.56%,8.29%,-11.18%,2.02%
Brunei,1.41%,-1.63%,-1.59%,1.13%,3.87%
Belgium,1.37%,3.01%,6.93%,-5.30%,2.24%
South Korea,1.36%,2.61%,4.30%,-0.71%,2.24%
Oman,1.30%,4.31%,3.09%,-3.38%,-1.13%
Turks And Caicos Islands,1.20%,6.20%,9.03%,-26.78%,5.31%
Azerbaijan,1.12%,4.71%,5.62%,-4.30%,2.50%
Singapore,1.08%,3.84%,9.69%,-3.87%,1.35%
Canada,1.07%,3.82%,5.29%,-5.04%,1.91%
North Macedonia,1.03%,2.22%,4.51%,-4.69%,3.91%
Myanmar,1.00%,4.04%,-12.02%,-9.05%,6.58%
Italy,0.92%,3.99%,8.31%,-8.97%,0.48%
Lesotho,0.90%,1.29%,1.85%,-7.46%,-1.42%
Central African Republic,0.87%,0.50%,0.98%,0.90%,3.10%
